Dataset Title,Date,Producer,Abstract,How to Cite This,Keywords,Access URL
"Euro-Barometer 9: Employment and Unemployment in Europe, April 1978",1978,"Inglehart, Ronald","This round of Euro-Barometer surveys queried respondents onstandard Euro-Barometer measures, such as how satisfied they were withtheir present life, whether they attempted to persuade others close tothem to share their views on subjects they held strong opinions about,whether they discussed political matters, what their country's goalsshould be for the next ten years, and how they viewed the need forsocietal change. Additional questions focused on the respondents'knowledge of and opinions on the European Community (EC), includinghow well-informed they felt about the EC, what sources of informationabout the EC they used, whether their country had benefited from beingan EC member, and the extent of their personal interest in ECmatters. Another major focus of the surveys was on the causes andconsequences of unemployment, both generally and among women and youthin particular. Those who had been unemployed during the previous threeyears were asked about their ability to obtain various kinds of publicassistance and how selective they were when looking for work.Attitudes toward the European Parliamentary elections (postponed from1978 to 1979) also continued to be measured. Demographic informationgathered includes respondents' religion, education, occupation,marital status, age, and sex, as well as the occupation of the head ofhousehold and the composition of the household. In addition to thesurvey itself, the ICPSR version of the study contains constructedindices on materialist/post-materialist values, left-right partisanvote, European Parliament partisan vote, and cognitive mobilization(an indicator of an individual's potential to take an active role inthe political process). Euro-Barometer 9 contains data gathered fromrepresentative samples of respondents aged 15 or older interviewed ineach of the nine nations of the EC (Germany, Great Britain, Denmark,Italy, France, Belgium, Luxembourg, Ireland, and Netherlands) in April1978.","Rabier, Jacques-Rene, and Ronald Inglehart. Euro-Barometer 9: Employment and Unemployment in Europe, April 1978. ICPSR07727-v1. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2002. http://doi.org/10.3886/ICPSR07727.v1",attitudes; economic behavior; economic integration; european unification; european union; income; life satisfaction; parliamentary elections; political affiliation; political behavior; political influence; political partisanship; public opinion; quality of life; social change; unemployment; voter attitudes; work; workers; working women; youths,https://odesi.ca/#/details?uri=/icpsr/07727.xml
"ABC News/Washington Post Poll, August 1993",1993,The Washington Post,"This poll is part of a continuing series of monthly surveys that solicit public opinion on the presidency and on a range of other political and social issues. Respondents were asked whether they approved of Bill Clinton's handling of his job as president and whether he was a strong and decisive leader. They were also asked to rate Clinton's handling of the nation's economy, foreign affairs, the federal budget deficit, and the federal response to the flooding in the Midwest. Those queried were also asked in detail about Clinton's economic plan -- specifically, whether they supported the increase in federal tax on gasoline and diesel fuel, the new federal tax rate on upper-income families, raising the tax on Social Security benefits, the increase in the federal business tax rate, and spending cuts in Medicare. Other topics included abortion, the situation in Serbia and Bosnia, and whether the respondent approved of United States airstrikes against Bosnian Serbs. The Roman Catholic Church was also a focus of this monthly survey, with specific questions on church policies and moral rules. Demographic background variablesinclude political orientation, sex, age, race, income, and education.","ABC News/Washington Post. ABC NEWS/WASHINGTON POST POLL, AUGUST 1993. ICPSR version. Radnor, PA: Chilton Research Services [producer], 1993. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 1997. http://doi.org/10.3886/ICPSR06283.v1",abortion; catholic church; clinton administration 19932001; clinton bill; economic conditions; economic planning; floods; foreign policy; medicare; national debt; national economy; political issues; presidency; presidential performance; public opinion; social issues; social security; tax increases,https://odesi.ca/#/details?uri=/icpsr/06283.xml
"Enquête sur la population active, novembre 2014 [Canada] [Remanié Recensement 2011]",2014,Division de la statistique du travail,"Ce fichier de microdonnées à grande diffusion renferme des données non agrégées associées à une vaste gamme de variables recueillies dans le cadre de l'Enquête sur la population active (EPA). L'EPA recueille des renseignements mensuels sur l'activité de la population canadienne en âge de travailler. Ce produit est destiné aux utilisateurs qui préfèrent réaliser leur propre analyse et qui s'intéressent à des sous-groupes particuliers de la population ou qui désirent effectuer des recoupements de variables ne faisant pas partie de nos produits catalogués.Le fichier renferme les caractéristiques personnelles de tous les membres du ménage et les caractéristiques détaillées de l'activité de tous les membres du ménage âgés de 15 ans et plus. Parmi les caractéristiques personnelles figurent l'âge, le sexe, l'état matrimonial, le niveau d'instruction et les caractéristiques de la famille. Les caractéristiques détaillées de l'activité comprennent des renseignements sur l'emploi, comme la catégorie de travailleurs, les heures habituellement et effectivement travaillées, le salaire horaire et hebdomadaire de l'employé, la branche d'activité associée à l'emploi actuel ou au dernier emploi, le secteur public ou privé, la couverture syndicale, les heures supplémentaires rémunérées et non rémunérées, la permanence de l'emploi, les heures de travail perdues, la durée de l'emploi, de même que les renseignements sur le chômage, comme la durée du chômage, les méthodes de recherche d'emploi et le genre de travail recherché. Les données sur les caractéristiques de l'activité des étudiants pendant l'année scolaire et pendant la période estivale, sur la fréquentation scolaire à temps plein ou à temps partiel ainsi que sur le type d'établissement sont également disponibles. Ces données et d'autres renseignements sont disponibles selon la province et pour les trois principales régions métropolitaines de recensement (Montréal, Toronto et Vancouver).Il s'agit d'un fichier mensuel, et les données disponibles remontent à 1976.","Statistique Canada. 2015. Enquête sur la population active, novembre 2014 [Canada] [Remanié Recensement 2011] [fichier de microdonnées à grande diffusion]. Ottawa, Ontario : Statistique Canada. Division des enquêtes spéciales [producteur et distributeur].",chômage; emploi; enquête sur la population active; heures de travail; industries; population active; professions; pumffile; revenu; travail; variables démographiques,https://odesi.ca/#/details?uri=/odesi/EPA-71M0001-F-2014-novembre-remanie-2011.xml
"Enquête sur les voyages des résidents du Canada, 2015 [Canada]: fichier des personnes, février",2015,"Culture, tourisme et Centre de la statistique de l'éducation","<p>Depuis le début de 2005, l'Enquête sur les voyages des résidents du Canada (EVRC) a été menée afin de mesurer les voyages intérieurs au Canada. Elle remplace l'Enquête sur les voyages des Canadiens (EVC). Grâce aux changements apportés aux définitions et au questionnaire, les estimations de voyages intérieurs se rapprocheront des directives internationales recommandées par l'Organisation mondiale du tourisme (OMT) et la Commission statistique des Nations Unies.</p><p>L'Enquête sur les voyages des résidents du Canada est parrainée par Statistique Canada, la Commission canadienne du tourisme (CCT), les gouvernements provinciaux et certains organismes fédéraux. Elle mesure l'ampleur des voyages intérieurs au Canada, du point de vue de la demande. L'enquête vise à recueillir de l'information sur le volume de voyages et des dépenses des résidents du Canada selon l'origine du voyage, la destination, la durée, le type d'hébergement utilisé, le but du voyage, le moyen de transport, etc., à recueillir de l'information sur l'incidence des voyages et fournir le profil sociodémographique des voyageurs et des non-voyageurs. Les estimations permettent d'effectuer des analyses sur une base trimestrielle à l'échelle nationale, provinciale et régionale (à divers degrés de précision) concernant les informations suivantes :<ul><li> nombre total de voyages d'un même jour et d'une nuit ou plus effectués par les résidents du Canada et dont la destination était au Canada;</li><li> visites d'un même jour et d'une nuit ou plus au Canada;</li><li> raison principale du voyage et activités principales effectuées pendant le voyage;</li><li> dépenses effectuées pour les voyages d'un même jour et d'une nuit ou plus au Canada par les résidents du Canada, au total et selon la catégorie de dépenses;</li><li> moyens de transport utilisés pendant le voyage (principal/autre);</li><li> visites-personnes, visites-ménages, dépenses totales et par catégorie de dépenses pour chaque endroit visité au Canada;</li><li> nuitées-personnes et nuitées-ménages passées à chaque endroit visité au Canada, au total et selon le type d'hébergement utilisé;</li><li> utilisation de forfaits de voyage et dépenses qui y sont associées et participation à des excursions guidées en autocar/autre;</li><li> personne ou organisme ayant payé les coûts du voyage (ménage, gouvernement, employeur privé);</li><li> caractéristiques démographiques des adultes qui ont effectué des voyages et ceux qui n'en n'ont pas effectués;</li><li> composition du groupe des voyageurs.</li></ul><p>Les utilisateurs principaux des données de l'EVRC sont Statistique Canada, la Commission canadienne du tourisme, les provinces et les bureaux de tourisme. Les médias, les entreprises, les consultants, ainsi que les chercheurs, comptent parmi les autres utilisateurs.</p>","STATISTIQUE CANADA. 2016.  Enquête sur les voyages des résidents du Canada, 2015, fichier des personnes, février [Canada]. [fichier de microdonnées à grande diffusion]. Ottawa, Ontario : Statistique Canada. Culture, tourisme et Centre de la statistique de l'éducation, Initiative de démocratisation des données [producteur et distributeur].",activités; dépenses; destinations de voyage; forfaits de voyage; groupe de voyageurs; moyens de transport; raison principale de voyager; type dhébergement,https://odesi.ca/#/details?uri=/odesi/evrc-87M0016-F-2015-personnes-fevrier.xml
"Survey of Federal Government Employees, November 1991-February 1992 [United States]",1991,United States Office of Personnel Management,"The Survey of Federal Employees is the Office of PersonnelManagement's first major survey of the work force since 1983. Thequestionnaire was designed to provide policy-makers with informationthat was not available from existing sources. Questions covered variouspersonnel areas such as employee characteristics, employees'satisfaction with their jobs, supervisors, and organizations,performance management, training, work schedule arrangements, leavebenefits, and dependent care responsibilities and the ways in which employeesfulfill these responsibilities.","United States Office of Personnel Management. Survey of Federal Government Employees, November 1991-February 1992 [United States]. ICPSR09983-v2. Ann Arbor, MI: Inter-university Consortium for Political and Social Research  [distributor], 2016-01-21. http://doi.org/10.3886/ICPSR09983.v2",federal government; government employees; job performance; job training; work attitudes,https://odesi.ca/#/details?uri=/icpsr/09983.xml
"ANES 1989 Pilot Study",1989,National Election Studies,"This study is part of a time-series collection of nationalsurveys fielded continuously since 1952. The election studies aredesigned to present data on Americans' social backgrounds, enduringpolitical predispositions, social and political values, perceptions andevaluations of groups and candidates, opinions on questions of publicpolicy, and participation in political life. The 1989 Pilot Study, likeits predecessors, provides an opportunity to refine existing NationalElection Study measures and to develop and test new instrumentation.These data include new measures of religious identity and the politicalsalience of religion, media exposure and the type of informationrecalled, and individualism represented by predispositions to autonomy,self-reliance, laissez-faire, and limited government. A significantportion of the study is devoted to experiments contrasting differentinstrumentation for issue questions. New items on gun control,abortion, and the Alaska oil spill also are included.","Miller, Warren E., and National Election Studies. ANES 1989 Pilot Study. ICPSR35133-v1. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2014-05-19. http://doi.org/10.3886/ICPSR35133.v1",abortion; candidates; congressional elections; domestic policy; economic conditions; foreign policy; government performance; gun control; national elections; oil spills; political affiliation; political attitudes; political campaigns; political efficacy; political issues; political participation; presidential elections; public approval; public opinion; public policy; reagan administration 19811989; religious beliefs; social networks; social values; trust in government; voter expectations; voter history; voting behavior,https://odesi.ca/#/details?uri=/icpsr/35133.xml
"Fichier de conversion des codes postaux [Canada], novembre 2000",2000,Division de la géographie,"<p>Le fichier de conversion des codes postaux (FCCP) est un fichier numérique qui permet d'établir un lien entre les codes postaux à six caractères et les unités géographiques normalisées de Statistique Canada pour lesquelles les données du recensement et d'autres statistiques sont produites. Les liens entre les codes postaux et les unités géographiques normalisées font du FCCP un outil permettant d'intégrer des données de diverses sources.</p><p>Voici un guide pour<a href=""http://odesi2.scholarsportal.info/documentation/PCCF/census_years/1996/nov2000/Getting_Started_fra_nov2000.html"" target=""blank""> comment commencer. </a></p><p>Pour obtenir le fichier de conversion des codes postaux ou pour des questions, consultez <a href=""https://www.statcan.gc.ca/fra/idd/contact"" target=""_blank"">la personne-ressource IDD</a> de votre établissement d'enseignement. </p><p>Les coordonnées géographiques attribuées à chaque code postal dans le FCCP sont généralement utilisées pour cartographier la distribution des données aux fins d'analyse spatiale (par ex., les clients, les activités). Les renseignements sur la localisation s'avèrent un outil puissant pour fins de marketing, de planification ou de recherche.</p><p>C'est en avril 1983 que la Division de la géographie a diffusé une première version du FCCP qui établissait un lien entre les codes postaux et les unités géographiques du recensement et comprenait des coordonnées géographiques. Depuis, ce fichier est régulièrement mis à jour afin de tenir compte des changements apportés par la Société canadienne des postes.Chaque cinq ans, les appariements de codes postaux dans le FCCP sont adaptés afin de correspondre aux unités géographiques du recensement le plus récent. Le premier FCCP établissait un lien aux unités géographiques du recensement de 1981. Depuis, le FCCP a connu trois ""conversions"", à la suite des recensements de 1986, de 1991 et de1996. Un système informatisé a été développé pour la conversion de 1991-1996. De plus, les codes postaux déclarés au recensement de 1996 ont été utilisés pour la première fois afin de valider les appariements du FCCP.</p>","Statistique Canada. 1996. Fichier de conversion des codes postaux, novembre 2000 [fichier de microdonnées à grande diffusion]. Ottawa, Ontario : Statistique Canada. Division de la géographie [producteur et distributeur].",agglomération de recensement; subdivision de recensement unifiée; division de recensement; région métropolitaine de recensement; subdivision de recensement; secteur de recensement; localité désignée; aire de diffusion; îlot de diffusion; région économique; géocodage; région rurale; banlieue rurale; région urbaine; noyau urbain; banlieue urbaine,https://odesi.ca/#/details?uri=/odesi/FCCP-92F0027XDB-F-2000-novembre.xml
"Longitudinal Survey of Immigrants to Canada : Wave 2",2002,Statistics Canada,"There exists a growing need for information on recent immigrants to Canada. As part of adapting to life in Canada, many immigrants face challenges such as finding suitable accommodation, learning or becoming more fluent in one or both of Canada's official languages, participating in the labour market or accessing education and training opportunities. The results of this survey will provide indicators of how immigrants are meeting these and other challenges. While integration may take many years, the LSIC is designed to examine the first four years of settlement, a time when newcomers establish economic, social and cultural ties to Canadian society. To this end, the objectives of the survey are two-fold: to study how new immigrants adjust to life in Canada over time; and, to provide information on the factors that can facilitate or hinder this adjustment.Topics covered in the survey include language proficiency, housing, education, foreign credential recognition, employment, health, values and attitudes, the development and use of social networks, income, and perceptions of settlement in Canada. Since immigration is a shared jurisdiction between national and provincial departments the information gathered through the LSIC will be beneficial to many groups including both federal and provincial government departments, immigrant settlement agencies, non-governmental organizations and researchers. Survey results will also play an important role in planning and developing programs that will assist future immigrants settling in Canada.Note that a public use microdata file will not be created for this survey. Data from the survey may be accessed through Statistics Canada's Research Data Centres (RDC). For more information visit Statistics Canada's Research Data Centres site at http://www.statcan.ca/english/rdc/index.htm.",,,https://odesi.ca/#/details?uri=/dlimf/ca-statcan-6812.xml
"ABC News/Washington Post Congressional District Poll, 1986 ",1986,The Washington Post,"In this study of voting practices and preferences  respondents were asked: if they voted in the last election, who they  voted for, if they were planning to vote in the upcoming election for  the House of Representatives, and who they were likely to vote for in  that election. They were asked to rate Reagan's performance as  president on issues such as the economy, foreign affairs, and aid to  the poor. They were also questioned about which political party they  generally support and what they believe to be the nation's worst  problem. Respondents to the follow-up questionnaire were again asked  who they would be voting for as well as whether they perceived the  state of the economy as getting better or worse. Demographic characteristics were also recorded.","ABC News/Washington Post. ABC NEWS/WASHINGTON POST CONGRESSIONAL DISTRICT POLL, 1986. Radnor, PA: Chilton Research Services [producer], 1986. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 1988. http://doi.org/10.3886/ICPSR08638.v1",congressional districts; congressional elections; economic conditions; foreign affairs; national elections; political campaigns; political parties; poverty programs; presidential performance; reagan ronald; voter preference; voters; voting behavior,https://odesi.ca/#/details?uri=/icpsr/08638.xml
"Survey of Stratification and Migration Dynamics in Russia, 1985-2001",1985,"Gerber, Theodore P.","The purpose of the study was to collect survey data on the employment/work histories, family structure histories, and residential mobility histories of Russian adults from January 1985 through the end of the survey. The work histories include the following information about each job held during that time period: occupation, how the job was found, employer type, industry, and size. In addition, the survey gathered information on current residence, occupation, other job characteristics, earnings, sources of household income, household ownership of consumer goods, basic demographic indicators, and attitude measures. The data were designed to be used for multivariate analysis of the factors influencing changes in employment status, job mobility of various types, changes in marital status, fertility, and residential mobility in Russia during the period of 1985-2001. Since the period covered by the histories spans the final seven years of the Soviet era and the first decade of the post-Soviet era, the data are uniquely suited for assessing whether the transition from Soviet-style socialism has affected stratification, family formation, and migration processes. Moreover, because the data include work/employment, family structure, and migration histories, the dataset is uniquely suited for dynamic analyses of the inter-relationships among states and events in these three domains. Finally, because the data contain information on each respondent's oblast (region) of residence at all points in time from 1985-2001, data on regional characteristics can be merged with files created from the survey data, in order to measure the impact of regional characteristics on individual-level events. The data can be used to investigate job and employment transitions, union formation and dissolution, fertility, departures of children, internal migration, determinants of earnings, wage arrears, consumption, andother topics.","Gerber, Theodore P. SURVEY OF STRATIFICATION AND MIGRATION DYNAMICS IN RUSSIA, 1985-2001. ICPSR04206-v1. Moscow, Russia: Vserossiiskii Tsentr Izucheniia Obshchestvennogo Mneniia (VTsIOM) [producer], 2002. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2006-07-18. http://doi.org/10.3886/ICPSR04206.v1",consumption; economic indicators; employment; family relationships; family structure; family work relationship; fertility; income; job history; labor migration; occupational mobility; political attitudes; privatization; wages and salaries; work,https://odesi.ca/#/details?uri=/icpsr/04206.xml
"Detroit Area Study, 1976:  A Study of Metropolitan and Neighborhood Problems",1976,"Schuman, Howard","This survey was concerned with respondents' opinions oftheir neighborhoods, public policy issues, and racial issues. Housingdiscrimination, Black/White racial attitudes, and busing to achieveschool integration were among the issues surveyed. Information was alsocollected on respondents' employment status and reasons for moving fromor staying in their neighborhoods.","Farley, Reynolds, and Howard Schuman. Detroit Area Study, 1976:  A Study of Metropolitan and Neighborhood Problems. ICPSR07906-v1. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 1997. http://doi.org/10.3886/ICPSR07906.v1",black white relations; cities; community decision making; economic behavior; employment; families; family life; housing; housing discrimination; local government; local politics; minority affairs; neighborhoods; political affiliation; political attitudes; political participation; public opinion; public policy; racial attitudes; residential segregation; school busing; school desegregation; social issues,https://odesi.ca/#/details?uri=/icpsr/07906.xml
